Mooring Name,Latitude,Longitude,Date,Time,SST_C,Salinity
HOG_REEF_64W_32N,32.457,-64.835,11/11/2017,21:17,24.303,36.527
HOG_REEF_64W_32N,32.457,-64.835,11/12/2017,0:17,24.229,36.529
HOG_REEF_64W_32N,32.457,-64.835,11/12/2017,3:17,24.019,36.537
HOG_REEF_64W_32N,32.457,-64.835,11/12/2017,6:17,24.008,36.551
HOG_REEF_64W_32N,32.457,-64.835,11/12/2017,9:17,23.86,36.556
HOG_REEF_64W_32N,32.457,-64.835,11/12/2017,12:17,23.817,36.571
HOG_REEF_64W_32N,32.457,-64.835,11/12/2017,15:17,23.88,36.573
HOG_REEF_64W_32N,32.457,-64.835,11/12/2017,18:17,24.172,36.569
HOG_REEF_64W_32N,32.457,-64.835,11/12/2017,21:17,24.236,36.562
HOG_REEF_64W_32N,32.457,-64.835,11/13/2017,0:17,23.95,36.577
HOG_REEF_64W_32N,32.457,-64.835,11/13/2017,3:17,23.943,36.564
HOG_REEF_64W_32N,32.457,-64.835,11/13/2017,6:17,23.901,36.566
HOG_REEF_64W_32N,32.457,-64.835,11/13/2017,9:17,23.755,36.214
HOG_REEF_64W_32N,32.457,-64.835,11/13/2017,12:17,23.809,36.462
HOG_REEF_64W_32N,32.457,-64.835,11/13/2017,15:17,23.951,36.444
HOG_REEF_64W_32N,32.457,-64.835,11/13/2017,18:17,24.136,36.519
HOG_REEF_64W_32N,32.457,-64.835,11/13/2017,21:17,24.112,36.519
HOG_REEF_64W_32N,32.457,-64.835,11/14/2017,0:17,24.17,36.535
HOG_REEF_64W_32N,32.457,-64.835,11/14/2017,3:17,24.092,36.487
HOG_REEF_64W_32N,32.457,-64.835,11/14/2017,6:17,24.627,36.52
HOG_REEF_64W_32N,32.457,-64.835,11/14/2017,9:17,24.691,36.545
HOG_REEF_64W_32N,32.457,-64.835,11/14/2017,12:17,24.636,36.543
HOG_REEF_64W_32N,32.457,-64.835,11/14/2017,15:17,24.373,36.515
HOG_REEF_64W_32N,32.457,-64.835,11/14/2017,18:17,24.268,36.516
HOG_REEF_64W_32N,32.457,-64.835,11/14/2017,21:17,24.205,36.517
HOG_REEF_64W_32N,32.457,-64.835,11/15/2017,0:17,24.228,36.516
HOG_REEF_64W_32N,32.457,-64.835,11/15/2017,3:17,24.007,36.538
HOG_REEF_64W_32N,32.457,-64.835,11/15/2017,6:17,23.97,36.541
HOG_REEF_64W_32N,32.457,-64.835,11/15/2017,9:17,23.879,36.549
HOG_REEF_64W_32N,32.457,-64.835,11/15/2017,12:17,23.813,36.555
HOG_REEF_64W_32N,32.457,-64.835,11/15/2017,15:17,23.874,36.562
HOG_REEF_64W_32N,32.457,-64.835,11/15/2017,18:17,23.962,36.562
HOG_REEF_64W_32N,32.457,-64.835,11/15/2017,21:17,23.871,36.568
HOG_REEF_64W_32N,32.457,-64.835,11/16/2017,0:17,24.013,36.559
HOG_REEF_64W_32N,32.457,-64.835,11/16/2017,3:17,23.628,36.571
HOG_REEF_64W_32N,32.457,-64.835,11/16/2017,6:17,23.622,36.576
HOG_REEF_64W_32N,32.457,-64.835,11/16/2017,9:17,23.646,36.57
HOG_REEF_64W_32N,32.457,-64.835,11/16/2017,12:17,23.92,36.58
HOG_REEF_64W_32N,32.457,-64.835,11/16/2017,15:17,24.331,36.582
HOG_REEF_64W_32N,32.457,-64.835,11/16/2017,18:17,24.517,36.581
HOG_REEF_64W_32N,32.457,-64.835,11/16/2017,21:17,24.567,36.578
HOG_REEF_64W_32N,32.457,-64.835,11/17/2017,0:17,24.585,36.578
HOG_REEF_64W_32N,32.457,-64.835,11/17/2017,3:17,24.464,36.583
HOG_REEF_64W_32N,32.457,-64.835,11/17/2017,6:17,24.393,36.586
HOG_REEF_64W_32N,32.457,-64.835,11/17/2017,9:17,24.352,36.587
HOG_REEF_64W_32N,32.457,-64.835,11/17/2017,12:17,24.498,36.579
HOG_REEF_64W_32N,32.457,-64.835,11/17/2017,15:17,24.571,36.578
HOG_REEF_64W_32N,32.457,-64.835,11/17/2017,18:17,24.544,36.533
HOG_REEF_64W_32N,32.457,-64.835,11/17/2017,21:17,24.55,36.551
HOG_REEF_64W_32N,32.457,-64.835,11/18/2017,0:17,24.502,36.561
HOG_REEF_64W_32N,32.457,-64.835,11/18/2017,3:17,24.42,36.572
HOG_REEF_64W_32N,32.457,-64.835,11/18/2017,6:17,24.135,36.582
HOG_REEF_64W_32N,32.457,-64.835,11/18/2017,9:17,24.207,36.594
HOG_REEF_64W_32N,32.457,-64.835,11/18/2017,12:17,24.353,36.591
HOG_REEF_64W_32N,32.457,-64.835,11/18/2017,15:17,24.432,36.594
HOG_REEF_64W_32N,32.457,-64.835,11/18/2017,18:17,24.498,36.6
HOG_REEF_64W_32N,32.457,-64.835,11/18/2017,21:17,24.518,36.601
HOG_REEF_64W_32N,32.457,-64.835,11/19/2017,0:17,24.481,36.6
HOG_REEF_64W_32N,32.457,-64.835,11/19/2017,3:17,24.402,36.603
HOG_REEF_64W_32N,32.457,-64.835,11/19/2017,6:17,24.304,36.604
HOG_REEF_64W_32N,32.457,-64.835,11/19/2017,9:17,24.28,36.608
HOG_REEF_64W_32N,32.457,-64.835,11/19/2017,12:17,24.247,36.608
HOG_REEF_64W_32N,32.457,-64.835,11/19/2017,15:17,24.278,36.608
HOG_REEF_64W_32N,32.457,-64.835,11/19/2017,18:17,24.26,36.617
HOG_REEF_64W_32N,32.457,-64.835,11/19/2017,21:17,24.16,36.627
HOG_REEF_64W_32N,32.457,-64.835,11/20/2017,0:17,24.105,36.626
HOG_REEF_64W_32N,32.457,-64.835,11/20/2017,3:17,24.117,36.622
HOG_REEF_64W_32N,32.457,-64.835,11/20/2017,6:17,23.969,36.631
HOG_REEF_64W_32N,32.457,-64.835,11/20/2017,9:17,24.069,36.623
HOG_REEF_64W_32N,32.457,-64.835,11/20/2017,12:17,24.132,36.613
HOG_REEF_64W_32N,32.457,-64.835,11/20/2017,15:17,24.215,36.571
HOG_REEF_64W_32N,32.457,-64.835,11/20/2017,18:17,24.209,36.578
HOG_REEF_64W_32N,32.457,-64.835,11/20/2017,21:17,24.103,36.589
HOG_REEF_64W_32N,32.457,-64.835,11/21/2017,0:17,24.201,36.594
HOG_REEF_64W_32N,32.457,-64.835,11/21/2017,3:17,24.121,36.596
HOG_REEF_64W_32N,32.457,-64.835,11/21/2017,6:17,23.774,36.613
HOG_REEF_64W_32N,32.457,-64.835,11/21/2017,9:17,23.578,36.61
HOG_REEF_64W_32N,32.457,-64.835,11/21/2017,12:17,23.479,36.614
HOG_REEF_64W_32N,32.457,-64.835,11/21/2017,15:17,23.679,36.621
HOG_REEF_64W_32N,32.457,-64.835,11/21/2017,18:17,23.847,36.617
HOG_REEF_64W_32N,32.457,-64.835,11/21/2017,21:17,23.937,36.616
HOG_REEF_64W_32N,32.457,-64.835,11/22/2017,0:17,23.945,36.617
HOG_REEF_64W_32N,32.457,-64.835,11/22/2017,3:17,23.587,36.633
HOG_REEF_64W_32N,32.457,-64.835,11/22/2017,6:17,23.483,36.638
HOG_REEF_64W_32N,32.457,-64.835,11/22/2017,9:17,23.179,36.649
HOG_REEF_64W_32N,32.457,-64.835,11/22/2017,12:17,23.07,36.654
HOG_REEF_64W_32N,32.457,-64.835,11/22/2017,15:17,23.038,36.654
HOG_REEF_64W_32N,32.457,-64.835,11/22/2017,18:17,23.035,36.65
HOG_REEF_64W_32N,32.457,-64.835,11/22/2017,21:17,22.954,36.542
HOG_REEF_64W_32N,32.457,-64.835,11/23/2017,0:17,22.95,36.561
HOG_REEF_64W_32N,32.457,-64.835,11/23/2017,3:17,22.892,36.544
HOG_REEF_64W_32N,32.457,-64.835,11/23/2017,6:17,22.726,36.54
HOG_REEF_64W_32N,32.457,-64.835,11/23/2017,9:17,23.305,36.576
HOG_REEF_64W_32N,32.457,-64.835,11/23/2017,12:17,24.09,36.603
HOG_REEF_64W_32N,32.457,-64.835,11/23/2017,15:17,24.422,36.592
HOG_REEF_64W_32N,32.457,-64.835,11/23/2017,18:17,24.461,36.596
HOG_REEF_64W_32N,32.457,-64.835,11/23/2017,21:17,24.352,36.593
HOG_REEF_64W_32N,32.457,-64.835,11/24/2017,0:17,24.072,36.59
HOG_REEF_64W_32N,32.457,-64.835,11/24/2017,3:17,24.159,36.605
HOG_REEF_64W_32N,32.457,-64.835,11/24/2017,6:17,23.679,36.597
HOG_REEF_64W_32N,32.457,-64.835,11/24/2017,9:17,23.477,36.59
HOG_REEF_64W_32N,32.457,-64.835,11/24/2017,12:17,23.39,36.593
HOG_REEF_64W_32N,32.457,-64.835,11/24/2017,15:17,23.545,36.603
HOG_REEF_64W_32N,32.457,-64.835,11/24/2017,18:17,24.19,36.614
HOG_REEF_64W_32N,32.457,-64.835,11/24/2017,21:17,23.694,36.603
HOG_REEF_64W_32N,32.457,-64.835,11/25/2017,0:17,24.064,36.616
HOG_REEF_64W_32N,32.457,-64.835,11/25/2017,3:17,23.954,36.62
HOG_REEF_64W_32N,32.457,-64.835,11/25/2017,6:17,23.72,36.615
HOG_REEF_64W_32N,32.457,-64.835,11/25/2017,9:17,23.396,36.601
HOG_REEF_64W_32N,32.457,-64.835,11/25/2017,12:17,23.418,36.583
