Sample Name_file,Trimming,Sample,Coral.ID,History,Life_Stage,Gel_Result,Extraction_Date,PMS_Date,percent_mCpG,percent_mCHG,percent_mCHH,M_Cs,percent_Dups,percent_Aligned,Ins_size,Median_cov,Mean_cov,R1_percent_BP_Trimmed,R1_percent_Dups,R1_percent_GC,R1_M_Seqs,R2_percent_BP_Trimmed,R2_percent_Dups,R2_percent_GC,R2_M_Seqs
L-862_S200_L004_R1_001_val_1,Original,L-862,P-14-A,Patch-Heated-Patch,Larvae,High Molecular Weight,20200814,20210506,8.50%,0.70%,0.80%,383.4,11.20%,41.80%,124,3.0X,4.6X,15.30%,16.00%,28%,40.2,15.10%,15.50%,28%,40.2
18-106_S163_L004_R1_001_val_1,Trim_3,18-106,P-19-A,Patch-Heated-Patch,Adult,High Molecular Weight,20200819,20210422,8.40%,0.80%,1.30%,333.3,14.80%,35.30%,104,2.0X,3.8X,15.70%,17.50%,28%,52.8,15.60%,17.30%,28%,52.8
18-142_S189_L004_R1_001_val_1,Trim_3,18-142,R-8-A,Rim-Ambient-Patch,Adult,High Molecular Weight,20200806,20210504,7.30%,0.60%,1.10%,331.4,12.10%,38.10%,91,2.0X,4.0X,19.50%,18.20%,29%,54,19.30%,17.90%,29%,54
18-167_S166_L004_R1_001_val_1,Trim_3,18-167,R-19-A,Rim-Heated-Patch,Adult,High Molecular Weight,20200819,20210422,8.30%,0.90%,1.40%,222.7,11.50%,32.80%,103,1.0X,2.6X,15.80%,12.90%,28%,37.2,15.60%,13.20%,28%,37.2
18-178_S191_L004_R1_001_val_1,Trim_3,18-178,R-5-B,Rim-Ambient-Rim,Adult,High Molecular Weight,20200821,20210504,7.50%,0.50%,1.20%,351.1,14.30%,35.50%,90,2.0X,4.3X,20.10%,19.90%,30%,64.1,19.90%,20.00%,30%,64.1
18-190_S186_L004_R1_001_val_1,Trim_3,18-190,P-14-A,Patch-Heated-Patch,Adult,High Molecular Weight,20200814,20210504,8.20%,0.50%,1.00%,363.4,18.40%,37.50%,100,2.0X,4.2X,18.20%,24.50%,29%,60.3,18.10%,24.30%,29%,60.3
18-20_S202_L004_R1_001_val_1,Trim_3,18-20,R-7-B,Rim-Ambient-Rim,Adult,High Molecular Weight,20200814,20210511,7.30%,0.50%,1.00%,326.2,16.80%,34.90%,106,2.0X,3.7X,17.10%,22.80%,29%,54.3,17.00%,22.60%,29%,54.3
18-202_S188_L004_R1_001_val_1,Trim_3,18-202,P-4-A,Patch-Ambient-Patch,Adult,High Molecular Weight,20200821,20210504,8.00%,0.50%,1.20%,260.7,11.90%,34.80%,93,2.0X,3.1X,20.00%,17.90%,30%,45.8,19.80%,17.80%,30%,45.8
18-32_S178_L004_R1_001_val_1,Trim_3,18-32,P-12-B,Patch-Heated-Rim,Adult,High Molecular Weight,20200814,20210428,8.50%,0.60%,1.20%,376.2,11.30%,35.00%,94,3.0X,4.4X,20.20%,15.70%,30%,64.4,20.00%,15.40%,29%,64.4
18-322_S180_L004_R1_001_val_1,Trim_3,18-322,P-9-A,Patch-Ambient-Patch,Adult,High Molecular Weight,20200813,20210428,7.70%,0.60%,1.30%,373.2,11.20%,34.50%,91,2.0X,4.6X,18.20%,15.10%,29%,65.3,18.00%,14.90%,29%,65.3
